Identifier,District,Event,Level,Level_Rank,Level_Basis,Severity,Urgency,Certainty,Is_Flood,Msg_Type,Sent,Effective,Expires,Headline,Sender,Source_URL
IN-1789934594754006_6,Ernakulam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 01:37:43,2026-09-21 01:29:00,2026-09-21 04:29:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts)   is very likely to occur at isolated places in the districts of  Ernakulam, Idukki, Kannur, Kozhikode, Malappuram in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789934594754006
IN-1789934594754006_6,Malappuram,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 01:37:43,2026-09-21 01:29:00,2026-09-21 04:29:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts)   is very likely to occur at isolated places in the districts of  Ernakulam, Idukki, Kannur, Kozhikode, Malappuram in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789934594754006
IN-1789934594754006_6,Kozhikode,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 01:37:43,2026-09-21 01:29:00,2026-09-21 04:29:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts)   is very likely to occur at isolated places in the districts of  Ernakulam, Idukki, Kannur, Kozhikode, Malappuram in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789934594754006
IN-1789934594754006_6,Kannur,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 01:37:43,2026-09-21 01:29:00,2026-09-21 04:29:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts)   is very likely to occur at isolated places in the districts of  Ernakulam, Idukki, Kannur, Kozhikode, Malappuram in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789934594754006
IN-1789925098402006_6,Pathanamthitta,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-20 23:03:30,2026-09-20 22:00:00,2026-09-21 01:00:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) is very likely to occur at a few places over Ernakulam, Idukki, Kottayam, Pathanamthitta, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789925098402006
IN-1789925098402006_6,Kottayam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-20 23:03:30,2026-09-20 22:00:00,2026-09-21 01:00:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) is very likely to occur at a few places over Ernakulam, Idukki, Kottayam, Pathanamthitta, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789925098402006
IN-1789925098402006_6,Idukki,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-20 23:03:30,2026-09-20 22:00:00,2026-09-21 01:00:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) is very likely to occur at a few places over Ernakulam, Idukki, Kottayam, Pathanamthitta, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789925098402006
IN-1789925098402006_6,Ernakulam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-20 23:03:30,2026-09-20 22:00:00,2026-09-21 01:00:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) is very likely to occur at a few places over Ernakulam, Idukki, Kottayam, Pathanamthitta, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789925098402006
IN-1789925098402006_6,Thrissur,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-20 23:03:30,2026-09-20 22:00:00,2026-09-21 01:00:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) is very likely to occur at a few places over Ernakulam, Idukki, Kottayam, Pathanamthitta, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789925098402006
IN-1789910046392006_6,Kottayam,Very Heavy Rain,Orange,2,event,Severe,Expected,Likely,No,Update,2026-09-20 18:54:08,2026-09-20 18:41:00,2026-09-21 08:30:00,"Very Heavy Rain is very likely to occur at isolated places over Idukki, Kottayam in next 24 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789910046392006
IN-1789910046392006_6,Idukki,Very Heavy Rain,Orange,2,event,Severe,Expected,Likely,No,Update,2026-09-20 18:54:08,2026-09-20 18:41:00,2026-09-21 08:30:00,"Very Heavy Rain is very likely to occur at isolated places over Idukki, Kottayam in next 24 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789910046392006
IN-1789814528251006_6,Idukki,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-19 16:19:38,2026-09-19 16:10:00,2026-09-19 19:10:00,Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) at isolated places in  Idukki    District in next 3 hours.,Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789814528251006
